,Pubmed accesion code number 1,Locus
442,[''],OQ775472
443,[''],OQ775471
444,[''],OQ775470
445,[''],OQ775469
446,[''],OQ775468
447,[''],OQ775467
448,[''],OQ775466
449,[''],OQ775465
450,[''],OQ775464
451,[''],OQ775463
452,[''],OQ775462
453,[''],OQ775461
454,[''],OQ775460
455,[''],OQ775459
456,[''],OQ775458
457,[''],OQ775457
458,[''],OQ775456
459,[''],OQ775455
460,[''],OQ775454
461,[''],OQ775453
462,[''],OQ775452
463,[''],OQ775451
464,[''],OQ775450
465,[''],OQ775449
466,[''],OQ775448
467,[''],OQ775447
468,[''],OQ775446
469,[''],OQ775445
470,[''],OQ775444
471,[''],OQ775443
472,[''],OQ775442
473,[''],OQ775441
474,[''],OQ775440
475,[''],OQ775439
476,[''],OQ775438
477,[''],OQ775437
478,[''],OQ775436
479,[''],OQ775435
480,[''],OQ775434
481,[''],OQ775433
482,[''],OQ775432
483,[''],OQ775431
484,[''],OQ775430
485,[''],OQ775429
486,[''],OQ775428
487,[''],OQ775427
488,[''],OQ775426
489,[''],OQ775425
490,[''],OQ775424
491,[''],OQ775423
492,[''],OQ775422
493,[''],OQ775421
494,[''],OQ775420
495,[''],OQ775419
496,[''],OQ775418
497,[''],OQ775417
498,[''],OQ775416
499,[''],OQ775415
500,[''],OQ775414
501,[''],OQ775413
502,[''],OQ775412
503,[''],OQ775411
504,[''],OQ775410
505,[''],OQ775409
506,[''],OQ775408
507,[''],OQ775407
508,[''],OQ775406
509,[''],OQ775405
510,[''],OQ775404
511,[''],OQ775403
512,[''],OQ775402
513,[''],OQ775401
514,[''],OQ775400
515,[''],OQ775399
516,[''],OQ775398
517,[''],OQ775397
518,[''],OQ775396
519,[''],OQ775395
520,[''],OQ775394
521,['37184895'],ON887081
522,['37184895'],ON887080
523,['37184895'],ON887079
524,['37184895'],ON838557
525,['37184895'],ON838556
526,['37184895'],ON807231
527,['37184895'],ON807230
528,['37184895'],ON807229
529,['37184895'],ON807228
530,['37184895'],ON807227
531,[''],OQ054327
532,[''],OM416236
533,[''],OM416235
534,[''],OM416234
535,[''],OM416233
536,[''],OM416232
537,[''],OM416231
538,[''],OM416230
539,[''],OM416229
540,[''],OM416228
541,[''],OM416227
542,[''],OM416226
543,[''],OM416225
544,[''],OM416224
545,[''],OM416223
546,[''],OM416222
547,[''],OM416221
548,[''],OM416220
549,[''],OM416219
550,[''],OM416218
551,[''],OM416217
552,[''],OM416216
553,[''],OP312969
554,[''],OP312968
555,[''],OP312967
556,[''],OP312966
557,[''],OP312965
558,[''],OP312964
559,[''],OP312963
560,[''],OP312962
561,[''],OP312961
562,[''],OP312960
563,[''],OP312959
564,[''],OP312958
565,[''],OP312957
566,[''],OP312956
567,[''],OP312955
568,[''],OP312954
569,[''],OP312953
570,[''],OP312952
571,[''],OP312951
572,[''],OP312950
573,[''],OP312949
574,[''],OP312948
575,[''],OP312947
576,[''],OP312946
577,[''],OP312945
578,[''],OP312944
579,[''],OP312943
580,[''],OP312942
581,[''],OP312941
582,[''],OP312940
583,[''],OP312939
584,[''],OP312938
585,[''],OP312937
586,[''],OP312936
587,[''],OP615963
588,[''],OP615962
589,[''],OP615961
590,['37031687'],OP964992
591,['37031687'],OP964991
592,['37031687'],OP964990
593,['37031687'],OP964989
594,['37031687'],OP964988
595,['37031687'],OP964987
596,['37031687'],OP964986
597,['37031687'],OP964985
598,['37031687'],OP964984
599,['37031687'],OP964983
600,['37031687'],OP964982
601,['37031687'],OP964981
602,['37031687'],OP964980
603,['37031687'],OP964979
604,['37031687'],OP964978
605,['37031687'],OP964977
606,['37031687'],OP964976
607,['37031687'],OP964975
608,['37031687'],OP964974
609,['37031687'],OP964973
610,['37031687'],OP964972
611,['37031687'],OP964971
612,['37031687'],OP964970
613,['37031687'],OP964969
614,['37031687'],OP964968
615,['37031687'],OP964967
616,['37031687'],OP964966
617,['37031687'],OP964965
618,['37031687'],OP964964
619,['37031687'],OP964963
620,['37031687'],OP964962
621,['37031687'],OP964961
622,['37031687'],OP964960
623,['37031687'],OP964959
624,['37031687'],OP964958
625,['37031687'],OP964957
626,['37031687'],OP964956
627,['37031687'],OP964955
628,['37031687'],OP964954
629,['37031687'],OP964953
630,['37031687'],OP964952
631,['37031687'],OP964951
632,['37031687'],OP964950
633,['37031687'],OP964949
634,['37031687'],OP964948
635,['37031687'],OP964947
636,['37031687'],OP964946
637,['37031687'],OP964945
638,['37031687'],OP964944
639,['37031687'],OP964943
640,['37031687'],OP964942
641,['37031687'],OP964941
