,Locus,Pubmed_number
2563,MT122884,32899416
2564,MT122885,32899416
2565,MT122886,32899416
2566,MT122887,32899416
2567,MT122888,32899416
2568,MT122889,32899416
2569,MT122890,32899416
2570,MT122891,32899416
2571,MT122892,32899416
2572,MT122893,32899416
2573,MT122894,32899416
2574,MT122895,32899416
2575,MT122896,32899416
2596,MT377735,32825262
2597,MT377736,32825262
2598,MT377737,32825262
2599,MT377738,32825262
2600,MT377739,32825262
2601,MT377740,32825262
2602,MT377741,32825262
2603,MT377742,32825262
2604,MT377743,32825262
2605,MT377744,32825262
2606,MT377745,32825262
2607,MT377746,32825262
2608,MT377747,32825262
2609,MT377748,32825262
2610,MT377749,32825262
2671,MW192825,34082088
2680,MW362805,33774189
2681,MW362806,33774189
2902,MW648236,34411743
2903,MW648237,34411743
2904,MW648238,34411743
2905,MW648239,34411743
2906,MW648240,34411743
2915,MW788988,34208667
2916,MW788989,34208667
2917,MW788990,34208667
2918,MW788991,34208667
2919,MW788992,34208667
2920,MW788993,34208667
2921,MW788994,34208667
2922,MW788995,34208667
2923,MW788996,34208667
2924,MW788997,34208667
2925,MW788998,34208667
2926,MW788999,34208667
2927,MW789000,34208667
2928,MW789001,34208667
2929,MW789002,34208667
2930,MW789003,34208667
2931,MW789004,34208667
2932,MW789005,34208667
2933,MW789006,34208667
2934,MW789007,34208667
3251,MZ188897,26426773
3252,MZ188898,26426773
3253,MZ188899,26426773
3254,MZ188900,26426773
3256,MZ310554,34428547
3257,MZ310555,34428547
3258,MZ310556,34428547
3259,MZ310557,34428547
3260,MZ310558,34428547
3261,MZ310559,34428547
3262,MZ310560,34428547
3263,MZ310561,34428547
3264,MZ310562,34428547
3269,MZ505611,34696340
3270,MZ505612,34696340
3271,MZ505613,34696340
3272,MZ505614,34696340
3273,MZ505615,34696340
3274,MZ636822,34564546
3275,MZ636823,34564546
3276,MZ636824,34564546
3277,MZ636825,34564546
3278,MZ636826,34564546
3279,MZ636827,34564546
3280,MZ636828,34564546
3281,MZ636829,34564546
3282,MZ636830,34564546
3283,MZ636831,34564546
3284,MZ636832,34564546
3285,MZ636833,34564546
3286,MZ636834,34564546
3309,OK605599,34610295
3310,OK605767,34931940
3311,OK605768,34931940
3312,OK605769,34931940
3313,OK605770,34931940
3314,OK605771,34931940
3315,OL314735,36266496
3316,OL314736,36266496
3317,OL314737,36266496
3318,OL314738,36266496
3319,OL314739,36266496
3320,OL314740,36266496
3321,OL314741,36266496
3322,OL314742,36266496
3323,OL314743,36266496
3324,OL314744,36266496
3325,OL314745,36266496
3326,OL314746,36266496
3327,OL314747,36266496
3343,OM641997,35779208
3679,OQ567848,37376575
3680,OQ567849,37376575
3681,OQ567850,37376575
3682,OQ567851,37376575
3683,OQ567852,37376575
3684,OQ567853,37376575
3685,OQ567854,37376575
3686,OQ567855,37376575
3687,OQ567856,37376575
3688,OQ567857,37376575
3689,OQ567858,37376575
3690,OQ567859,37376575
3691,OQ567860,37376575
3692,OQ567861,37376575
3693,OQ567862,37376575
3694,OQ567863,37376575
3695,OQ567864,37376575
3696,OQ567865,37376575
3697,OQ567866,37376575
3698,OQ567867,37376575
3699,OQ567868,37376575
3700,OQ567869,37376575
3701,OQ567870,37376575
3702,OQ567871,37376575
3703,OQ567872,37376575
3704,OQ579504,37243165
3705,OQ579505,37243165
3706,OQ579506,37243165
3707,OQ579507,37243165
3708,OQ579508,37243165
3709,OQ579509,37243165
3710,OQ579510,37243165
3711,OQ579511,37243165
3712,OQ579512,37243165
3713,OQ579513,37243165
3714,OQ579514,37243165
3715,OQ579515,37243165
3716,OQ579516,37243165
3717,OQ579517,37243165
3718,OQ579518,37243165
3719,OQ579519,37243165
3720,OQ579520,37243165
3721,OQ579521,37243165
3722,OQ579522,37243165
3723,OQ579523,37243165
3724,OQ579524,37243165
3725,OQ579525,37243165
3726,OQ579526,37243165
3727,OQ579527,37243165
3728,OQ579528,37243165
3729,OQ579529,37243165
3730,OQ579530,37243165
3731,OQ579531,37243165
3732,OQ579532,37243165
3733,OQ579533,37243165
3734,OQ579534,37243165
3735,OQ579535,37243165
3736,OQ579536,37243165
3737,OQ579537,37243165
3738,OQ579538,37243165
3739,OQ579539,37243165
3740,OQ579540,37243165
3741,OQ579541,37243165
3742,OQ579542,37243165
3743,OQ579543,37243165
3744,OQ579544,37243165
3745,OQ579545,37243165
3746,OQ579546,37243165
3747,OQ579547,37243165
3748,OQ579548,37243165
3749,OQ579549,37243165
3750,OQ579550,37243165
3751,OQ579551,37243165
3752,OQ579552,37243165
3755,OQ678015,35238677
3889,S66064,8411360
3890,DVU09483,8240006
3891,DVU18425,9292015
3892,DVU18426,9292015
3893,DVU18427,9292015
3894,DVU18428,9292015
3895,DVU18429,9292015
3896,DVU18430,9292015
3897,DVU18431,9292015
3898,DVU18432,9292015
3899,DVU18433,9292015
3900,DVU18434,9292015
3901,DVU18435,9292015
3902,DVU18436,9292015
3903,DVU18437,9292015
3904,DVU18438,9292015
3905,DVU18439,9292015
3906,DVU18440,9292015
3907,DVU18441,9292015
3908,DVU18442,9292015
