Locus,Pubmed accession number
MN124091,['31434319']
MN170700,[]
MN170701,[]
MN170702,[]
MN170703,[]
MN170704,[]
MN170705,[]
MN170706,[]
MN170707,[]
MN170708,[]
MN170709,[]
MN170710,[]
MN170711,[]
MN170712,[]
MN170713,[]
MN170714,[]
MN170715,[]
MN171421,[]
MN185324,['31569736']
MN185325,['31569736']
MN185326,['31569736']
MN185327,['31569736']
MN185328,['31569736']
MN185329,['31569736']
MN185330,['31569736']
MN185331,['31569736']
MN185332,['31569736']
MN190155,[]
MN473450,[]
MN473451,[]
MN473452,[]
MN473453,[]
MN473454,[]
MN527290,['32512828']
MN566104,['36096408']
MN566105,['36096408']
MN566106,['36096408']
MN566107,['36096408']
MN566108,['36096408']
MN567709,['32163449']
MN577543,['36096408']
MN577544,['36096408']
MN577550,[]
MN600713,[]
MN611472,['31678288']
MN755616,[]
MN755617,[]
MN755618,[]
MN755619,[]
MN755620,[]
MN755621,[]
MN755622,[]
MN755623,[]
MN755624,[]
MN755625,[]
MN755626,[]
MN938894,['32006504']
MN938895,['32006504']
MN938896,['32006504']
MN938897,['32006504']
MN938898,['32006504']
MN938899,['32006504']
MN938900,['32006504']
MN938901,['32006504']
MN938902,['32006504']
MN938903,['32006504']
MN938904,['32006504']
MN938905,['32006504']
MN938906,['32006504']
MN938907,['32006504']
MN938908,['32006504']
MN938909,['32006504']
MN938910,['32006504']
MN938911,['32006504']
MO308178,[]
MO308179,[]
MO308180,[]
MO308181,[]
MO308182,[]
MO308183,[]
MO308184,[]
MO308185,[]
MO308186,[]
MO308187,[]
MO308188,[]
MO308189,[]
MO308190,[]
MO308191,[]
MO308192,[]
MO308193,[]
MO308194,[]
MO308195,[]
MO308196,[]
MO308197,[]
MO308198,[]
MO308199,[]
MO308200,[]
MO308201,[]
MO308202,[]
MO452221,[]
MO452222,[]
MO452223,[]
MO452224,[]
MO452225,[]
MO452226,[]
MO452227,[]
MO452228,[]
MO452229,[]
MO452230,[]
MO452231,[]
MO452232,[]
MO452233,[]
MO452234,[]
MO452235,[]
MO452236,[]
MO452237,[]
MO565313,[]
MO565314,[]
MO565315,[]
MO565316,[]
MO565317,[]
MO565318,[]
MO565319,[]
MO565320,[]
MO565321,[]
MO565322,[]
MO565323,[]
MO565324,[]
MO565325,[]
MO565326,[]
MO565327,[]
MO612635,[]
MO612636,[]
MO612637,[]
MO612638,[]
MO612639,[]
MO612640,[]
MO612641,[]
MO612642,[]
MO612643,[]
MO612644,[]
MO612645,[]
MO612646,[]
MO612647,[]
MO612648,[]
MO612649,[]
MO612650,[]
MO612651,[]
MO612652,[]
MO612653,[]
MO612654,[]
MO612655,[]
MO612656,[]
MO612657,[]
MO612658,[]
MO612659,[]
MO612660,[]
MO612661,[]
MO612662,[]
MO612663,[]
MO612664,[]
MO612665,[]
MO612666,[]
MO612667,[]
MO612668,[]
MO612669,[]
MO612670,[]
MO612671,[]
MO612672,[]
MO612673,[]
MO612674,[]
MO612675,[]
MO612676,[]
MO612677,[]
MO612678,[]
MO612679,[]
MO612680,[]
MO612681,[]
MO612682,[]
MO612683,[]
MO612684,[]
MO612685,[]
MO612686,[]
MO612687,[]
MO612688,[]
MO612689,[]
MO612690,[]
MO612691,[]
MO612692,[]
MO612693,[]
MO612694,[]
MO612695,[]
MO612696,[]
MO612697,[]
MO612698,[]
MO612699,[]
MO612700,[]
MO612701,[]
MO612702,[]
MO612703,[]
MO612704,[]
MO612705,[]
MO612706,[]
MO612707,[]
MO612708,[]
MO612709,[]
MO612710,[]
MO612711,[]
MO612712,[]
MO612713,[]
MO612714,[]
MO612715,[]
MO612716,[]
MO612717,[]
MO612718,[]
MO612719,[]
MO612720,[]
MO612721,[]
MO612722,[]
MO612723,[]
MO612724,[]
MO612725,[]
MO612726,[]
MO612727,[]
MO612728,[]
MO612729,[]
MO612730,[]
MO612731,[]
MO612732,[]
MO612733,[]
MO612734,[]
MO612735,[]
MO612736,[]
MO612737,[]
MO612738,[]
MO612739,[]
MO612740,[]
MO612741,[]
MO612742,[]
MO612743,[]
MO612744,[]
MO612745,[]
MO612746,[]
MO612747,[]
MO612748,[]
MO612749,[]
MO612750,[]
MO612751,[]
MO612752,[]
MO612753,[]
MO612754,[]
MO612755,[]
MO612756,[]
MO612757,[]
MO612758,[]
MO612759,[]
MO612760,[]
MO612761,[]
MO612762,[]
MO612763,[]
MO612764,[]
MO612765,[]
MO612766,[]
MO612767,[]
MO612768,[]
MO612769,[]
MO612770,[]
MO612771,[]
MO612772,[]
MO612773,[]
MO612774,[]
MO612775,[]
MO612776,[]
MO612777,[]
MO612778,[]
MO612779,[]
MO612780,[]
MO612781,[]
MO612782,[]
MO612783,[]
MO612784,[]
MO612785,[]
MO612786,[]
MO612787,[]
MO612788,[]
MO612789,[]
MO612790,[]
MO612791,[]
MO612792,[]
MO612793,[]
MO612794,[]
MO612795,[]
MO612796,[]
MO612797,[]
MO612798,[]
MO612799,[]
MO612800,[]
MO612801,[]
MO612802,[]
MO612803,[]
MO612804,[]
MO612805,[]
MO612806,[]
MO612807,[]
MO612808,[]
MO612809,[]
MO612810,[]
MO612811,[]
MO612812,[]
MO612813,[]
MO612814,[]
MO612815,[]
MO612816,[]
MO612817,[]
MO612818,[]
MO612819,[]
MO612820,[]
MO612821,[]
MO612822,[]
MO612823,[]
MO612824,[]
MO612825,[]
MO612826,[]
MO612827,[]
MO612828,[]
MO612829,[]
MO612830,[]
MO612831,[]
MO612832,[]
MO622930,[]
MO622931,[]
MO622932,[]
MO622933,[]
MO622934,[]
MO622935,[]
MO622936,[]
MO622937,[]
MO622938,[]
MO622939,[]
MO622940,[]
MO622941,[]
MO622942,[]
MO622943,[]
MO622944,[]
MO622945,[]
MO622946,[]
MO622947,[]
MO622948,[]
MO622949,[]
MO622950,[]
MO622951,[]
MO622952,[]
MO622953,[]
MO622954,[]
MO622955,[]
MO622956,[]
MO622957,[]
MO622958,[]
MO622959,[]
MO622960,[]
MO622961,[]
MO622962,[]
MO622963,[]
MO622964,[]
MO622965,[]
MO622966,[]
MO622967,[]
MO622968,[]
MO622969,[]
MO622970,[]
MO622971,[]
MO622972,[]
MO622973,[]
MO622974,[]
MO622975,[]
MO622976,[]
MO622977,[]
MO622978,[]
MO622979,[]
MO622980,[]
MO622981,[]
MO622982,[]
MO622983,[]
MO622984,[]
MO622985,[]
MO622986,[]
MO622987,[]
MO622988,[]
MO622989,[]
MO622990,[]
MO622991,[]
MO622992,[]
MO622993,[]
MO622994,[]
MO622995,[]
MO622996,[]
MO622997,[]
MO622998,[]
MO622999,[]
MO623000,[]
MO623001,[]
MO623002,[]
MO623003,[]
MO623004,[]
MO623005,[]
MO623006,[]
MO623007,[]
MO623008,[]
MO623009,[]
MO623010,[]
MO623011,[]
MO623012,[]
MO623013,[]
MO623014,[]
MO623015,[]
MO623016,[]
MO623017,[]
MO623018,[]
MO623019,[]
MO623020,[]
MO623021,[]
MO623022,[]
MO623023,[]
MO623024,[]
MO623025,[]
MO623026,[]
MO623027,[]
MO623028,[]
MO623029,[]
MO623030,[]
MO623031,[]
MO623032,[]
MO623033,[]
MO623034,[]
MO623035,[]
MO623036,[]
MO623037,[]
MO623038,[]
MO623039,[]
MO623040,[]
MO623041,[]
MO623042,[]
MO623043,[]
MO623044,[]
MO623045,[]
MO623046,[]
MO623047,[]
MO623048,[]
MO623049,[]
MO623050,[]
MO623051,[]
MO623052,[]
MO623053,[]
MO623054,[]
MO623055,[]
MO623056,[]
MO623057,[]
MO623058,[]
MO623059,[]
MO623060,[]
MO623061,[]
MO623062,[]
MO623063,[]
MO623064,[]
MO623065,[]
MO623066,[]
MO623067,[]
MO623068,[]
MO623069,[]
MO623070,[]
MO623071,[]
MO623072,[]
MO623073,[]
MO623074,[]
MO623075,[]
MO623076,[]
MO623077,[]
MO623078,[]
MO623079,[]
MO623080,[]
MO623081,[]
MO623082,[]
MO623083,[]
MO623084,[]
MO623085,[]
MO623086,[]
MO623087,[]
MO623088,[]
MO623089,[]
MO623090,[]
MO623091,[]
MO623092,[]
MO623093,[]
MO623094,[]
MO623095,[]
MO623096,[]
MO623097,[]
MO623098,[]
MO623099,[]
MO623100,[]
MO690192,[]
MO690193,[]
MO690194,[]
MO690195,[]
MO690196,[]
MO690197,[]
MO690198,[]
MO690199,[]
MO690200,[]
MO690201,[]
MO690202,[]
MO690203,[]
MO690204,[]
MO690205,[]
MO690206,[]
MO690207,[]
MO690208,[]
MO690209,[]
MO690210,[]
MO690211,[]
MO690212,[]
MO946847,[]
MO946848,[]
MO946849,[]
MO946850,[]
MO946851,[]
MO946852,[]
MO946853,[]
MO946854,[]
MO946855,[]
MP038081,[]
MP038082,[]
MP038083,[]
MP038084,[]
MP038085,[]
MP038086,[]
MP038087,[]
MP038088,[]
MP038089,[]
MP038090,[]
MP038091,[]
MP038092,[]
MP038093,[]
MP038094,[]
MP038095,[]
MP038096,[]
MP038097,[]
MP038098,[]
MP038099,[]
MP038100,[]
MP038101,[]
MP038102,[]
MP046196,[]
MP046198,[]
MP046200,[]
MP046202,[]
MP046204,[]
MP046207,[]
MP046208,[]
MP046209,[]
MP046210,[]
MP046211,[]
MP051955,[]
MP051956,[]
MP109122,[]
MP109123,[]
MP109124,[]
MP109125,[]
MP109126,[]
MP109127,[]
MP109128,[]
MP109129,[]
MP109138,[]
MP109139,[]
MP109140,[]
MP109141,[]
MP109142,[]
MP109143,[]
MP109144,[]
MP109145,[]
MP109154,[]
MP109155,[]
MP109156,[]
MP109157,[]
MP109158,[]
MP109159,[]
MP109160,[]
MP109161,[]
MP109170,[]
MP109171,[]
MP109172,[]
MP109173,[]
MP109174,[]
MP109175,[]
MP109176,[]
MP109177,[]
MP109186,[]
MP109187,[]
MP109188,[]
MP109189,[]
MP109190,[]
MP109191,[]
MP109192,[]
MP109193,[]
MP109198,[]
MP109199,[]
MP109200,[]
MP109201,[]
MP109369,[]
MP109370,[]
MP109371,[]
MP109372,[]
MP109373,[]
MP109374,[]
MP109375,[]
MP109376,[]
MP113064,[]
MP113065,[]
MP113066,[]
MP113067,[]
MP113068,[]
MP113069,[]
MP113070,[]
MP113071,[]
MP113080,[]
MP113081,[]
MP113082,[]
MP113083,[]
MP113084,[]
MP113085,[]
MP113086,[]
MP113087,[]
MP113096,[]
MP113097,[]
MP113098,[]
MP113099,[]
MP113100,[]
MP113101,[]
MP113102,[]
MP113103,[]
MP113112,[]
MP113113,[]
MP113114,[]
MP113115,[]
MP113116,[]
MP113117,[]
MP113118,[]
MP113119,[]
MP113128,[]
MP113129,[]
MP113130,[]
MP113131,[]
MP113132,[]
MP113133,[]
MP113134,[]
MP113135,[]
MP113140,[]
MP113141,[]
MP113142,[]
MP113143,[]
MP113311,[]
MP113312,[]
MP113313,[]
MP113314,[]
MP113315,[]
MP113316,[]
MP113317,[]
MP113318,[]
MP170546,[]
MP170548,[]
MP170550,[]
MP170552,[]
MP170554,[]
MP170556,[]
MP170558,[]
MP170560,[]
MP170562,[]
MP170564,[]
MP170566,[]
MP170567,[]
MP170568,[]
MP170569,[]
MP170571,[]
MP189243,[]
MP189245,[]
MP189247,[]
MP189249,[]
MP189251,[]
MP189253,[]
MP189255,[]
MP189257,[]
MP189259,[]
MP189261,[]
MP189263,[]
MP189264,[]
MP189265,[]
MP189266,[]
MP189268,[]
MP191549,[]
MP191551,[]
MP191553,[]
MP191555,[]
MP191557,[]
MP191559,[]
MP191560,[]
MP191561,[]
MP191562,[]
MP191563,[]
MP204321,[]
MP205251,[]
MP219100,[]
MP219101,[]
MP219102,[]
MP219103,[]
MP219106,[]
MP231720,[]
MP231721,[]
MP231722,[]
MP231723,[]
MP231724,[]
MP231725,[]
MP251935,[]
MP251936,[]
MP251938,[]
MP251939,[]
MP251941,[]
MP251942,[]
MP251944,[]
MP251945,[]
MP251947,[]
MP251948,[]
MP251950,[]
MP251951,[]
MP251953,[]
MP251955,[]
MP251956,[]
MP251957,[]
MP251958,[]
MP312416,[]
MP312417,[]
MP312418,[]
MP312419,[]
MP312420,[]
MP312421,[]
MP312422,[]
MP312423,[]
MP312424,[]
MP312425,[]
MP312426,[]
MP312427,[]
MP312428,[]
MP312429,[]
MP312430,[]
MP312431,[]
MP312432,[]
MP312433,[]
MP312434,[]
MP312435,[]
MP312436,[]
MP312437,[]
MP312438,[]
MP312439,[]
MP312440,[]
MP312441,[]
MP312442,[]
MP312443,[]
MP312444,[]
MP312445,[]
MP312446,[]
MP312447,[]
MP312448,[]
MP312449,[]
MP312450,[]
MP312451,[]
MP312452,[]
MP312453,[]
MP312454,[]
MP312455,[]
MP312456,[]
MP312457,[]
MP312458,[]
MP312459,[]
MP312460,[]
MP312461,[]
MP312462,[]
MP312463,[]
MP312464,[]
MP312465,[]
MP312466,[]
MP312524,[]
MP312525,[]
MP312526,[]
MP312527,[]
MP312528,[]
MP312529,[]
MP312530,[]
MP312531,[]
MP398988,[]
MP398990,[]
MP398991,[]
MP398992,[]
MP429294,[]
MP429295,[]
MP429296,[]
MP429297,[]
MP429298,[]
MP429299,[]
MP429300,[]
MP429301,[]
MP429302,[]
MP429303,[]
MP429304,[]
MP429305,[]
MP429306,[]
MP429307,[]
MP429308,[]
MP429309,[]
MP429310,[]
MP429311,[]
MP429312,[]
MP429313,[]
MP429314,[]
MP429315,[]
MP429316,[]
MP429317,[]
MP429318,[]
MP429319,[]
MP429320,[]
MP429321,[]
MP429322,[]
MP429323,[]
MP429324,[]
MP429325,[]
MP508152,[]
MP720642,[]
MP720643,[]
MP720644,[]
MP720645,[]
MP720646,[]
MP720647,[]
MP720654,[]
MP720655,[]
MP720656,[]
MP720657,[]
MP720660,[]
MP720661,[]
MP757177,[]
MP757179,[]
MP757181,[]
MP757183,[]
MP757185,[]
MP757187,[]
MP757189,[]
MP757191,[]
MP757192,[]
MP757193,[]
MP757194,[]
MP757196,[]
MP757197,[]
MP757198,[]
MP757199,[]
MP757200,[]
MP757201,[]
MP780237,[]
MP784304,[]
MP784305,[]
MP784306,[]
MP784307,[]
MP784308,[]
MP784309,[]
MP830062,[]
MP860862,[]
MP860863,[]
MP860864,[]
MP860865,[]
MP860866,[]
MP860867,[]
MP860868,[]
MQ063097,[]
MQ063099,[]
MQ063100,[]
MQ063424,[]
MQ063425,[]
MQ063426,[]
MQ063427,[]
MQ063428,[]
MQ063429,[]
MQ063430,[]
MQ063431,[]
MQ063432,[]
MQ063433,[]
MQ063434,[]
MQ063435,[]
MQ063436,[]
MQ063437,[]
MQ063438,[]
MQ167718,[]
MQ167719,[]
MQ313551,[]
MQ313553,[]
MT078739,[]
MT078740,[]
MT078741,[]
MT078742,[]
MT080689,[]
MT084112,[]
MT096047,[]
MT125019,[]
MT309004,[]
MT309005,[]
MT309006,[]
MT309007,[]
MT309008,[]
MT332695,[]
MT332696,[]
MT332697,[]
MT332698,[]
MT377491,[]
MT377492,[]
MT377493,[]
MT377494,[]
MT377495,[]
MT377496,[]
MT377497,[]
MT377498,[]
MT377499,[]
MT377500,[]
MT377501,[]
MT377502,[]
MT377503,[]
MT377504,[]
MT437401,[]
MT439638,[]
MT439639,[]
MT439640,[]
MT439641,[]
MT439642,[]
MT439643,[]
MT439644,[]
MT439645,[]
MT439646,[]
MT439647,[]
MT458148,[]
MT482106,['33863991']
MT482107,['33863991']
MT482108,['33863991']
MT482109,['33863991']
MT483911,[]
MT505349,['32574959']
MT505350,['32574959']
MT507047,[]
MT507048,[]
MT507049,[]
MT507050,[]
MT636065,[]
MT671183,[]
MT671184,[]
MT721877,[]
MT721878,[]
MT721879,[]
MT721880,[]
MT721881,[]
MT721882,[]
MT721883,[]
MT721884,[]
MT721885,[]
MT721886,[]
MT721887,[]
MT721888,[]
MT721889,[]
MT721890,[]
MT721891,[]
MT721892,[]
MT721893,[]
MT721894,[]
MT721895,[]
MT721896,[]
MT721897,[]
MT721898,[]
MT721899,[]
MT721900,[]
MT721901,[]
MT721902,[]
MT721903,[]
MT721904,[]
MT721905,[]
MT721906,[]
MT721907,[]
MT721908,[]
MT721909,[]
MT721910,[]
MT721911,[]
MT721912,[]
MT721913,[]
MT721914,[]
MT721915,[]
MT721916,[]
MT721917,[]
MT721918,[]
MT721919,[]
MT721920,[]
MT721921,[]
MT721922,[]
MT721923,[]
MT721924,[]
MT721925,[]
MT721926,[]
MT721927,[]
MT721928,[]
MT721929,[]
MT721930,[]
MT721931,[]
MT721932,[]
MT721933,[]
MT721934,[]
MT721935,[]
MT721936,[]
MT721937,[]
MT721938,[]
MT721939,[]
MT721940,[]
MT721941,[]
MT721942,[]
MT721943,[]
MT721944,[]
MT721945,[]
MT721946,[]
MT721947,[]
MT721948,[]
MT721949,[]
MT721950,[]
MT721951,[]
MT721952,[]
MT721953,[]
MT721954,[]
MT721955,[]
MT721956,[]
MT721957,[]
MT721958,[]
MT721959,[]
MT721960,[]
MT721961,[]
MT747410,['32639204']
MT747411,['32639204']
MT747412,['32639204']
MT747413,['32639204']
MT747414,['32639204']
MT747415,['32639204']
MT747416,['32639204']
MT747417,['32639204']
MT926370,['33142991']
MT926371,['33142991']
MV066077,[]
MV066078,[]
MV066079,[]
MV066080,[]
MV066081,[]
MV066082,[]
MV066083,[]
MV066084,[]
MV066085,[]
MV066086,[]
MV066087,[]
MV066088,[]
MV066089,[]
MV066090,[]
MV099864,[]
MV099865,[]
MV099866,[]
MV099867,[]
MV099868,[]
MV099869,[]
MV099870,[]
MV099871,[]
MV099872,[]
MV099873,[]
MV099874,[]
MV099875,[]
MV099876,[]
MV099877,[]
MV099878,[]
MV099879,[]
MV099880,[]
MV099881,[]
MV099882,[]
MV099883,[]
MV099884,[]
MV099885,[]
MV099886,[]
MV099887,[]
MV099888,[]
MV099889,[]
MV099890,[]
MV131003,[]
MV131004,[]
MV131005,[]
MV131006,[]
MV131007,[]
MV131008,[]
MV131009,[]
MV131010,[]
MV131011,[]
MV131012,[]
MV131013,[]
MV131014,[]
MV131015,[]
MV131016,[]
MV131017,[]
MV131018,[]
MV131019,[]
MV131020,[]
MV131021,[]
MV131022,[]
MV131023,[]
MV131024,[]
MV131025,[]
MV131026,[]
MV131027,[]
MV131028,[]
MV131029,[]
MV131030,[]
MV131031,[]
MV131032,[]
MV131033,[]
MV131034,[]
MV131035,[]
MV131036,[]
MV131037,[]
MV131038,[]
MV131039,[]
MV131040,[]
MV131041,[]
MV131042,[]
MV131043,[]
MV131044,[]
MV131045,[]
MV131046,[]
MV131047,[]
MV131048,[]
MV131049,[]
MV131050,[]
MV131051,[]
MV131052,[]
MV131053,[]
MV131054,[]
MV131055,[]
MV131056,[]
MV131057,[]
MV131058,[]
MV131059,[]
MV131060,[]
MV150147,[]
MV150148,[]
MV150149,[]
MV150150,[]
MV150151,[]
MV150152,[]
MV150153,[]
MV150154,[]
MV150155,[]
MV150156,[]
MV150157,[]
MV150158,[]
MV153524,[]
MV153525,[]
MV153526,[]
MV153527,[]
MV153528,[]
MV153529,[]
MV153530,[]
MV153531,[]
MV153532,[]
MV153533,[]
MV153534,[]
MV153535,[]
MV597201,[]
MV597202,[]
MV597203,[]
MV597204,[]
MV597205,[]
MV597206,[]
MV597207,[]
MV597208,[]
MV597209,[]
MV597210,[]
MV597211,[]
MV597212,[]
MV597213,[]
MV597214,[]
MV597215,[]
MV597216,[]
MV597217,[]
MV597218,[]
MV597219,[]
MV597220,[]
MV597221,[]
MV597222,[]
MV597223,[]
MV597224,[]
MV597225,[]
MV597226,[]
MV597227,[]
MV597228,[]
MV597229,[]
MV597230,[]
MV597231,[]
MV597232,[]
MV597233,[]
MV597234,[]
MV597235,[]
MV597236,[]
MV597237,[]
MV597238,[]
MV597239,[]
MV597240,[]
MV597241,[]
MV597242,[]
MV597243,[]
MV597244,[]
MV597245,[]
MV597246,[]
MV597247,[]
MV597248,[]
MV597249,[]
MV597250,[]
MV597251,[]
MV597252,[]
MV597253,[]
MV597254,[]
MV597255,[]
MV597256,[]
MV597257,[]
MV597258,[]
MV722253,[]
MV722254,[]
MV722255,[]
MV722256,[]
MV848338,[]
MV848339,[]
MV848340,[]
MV848341,[]
MV848342,[]
MV848343,[]
MV848344,[]
MV848345,[]
MV848346,[]
MV848347,[]
MV848348,[]
MV848349,[]
MV848350,[]
MV848351,[]
MV848352,[]
MV848353,[]
MV988353,[]
MV988354,[]
MV988355,[]
MV988356,[]
MV988357,[]
MV988358,[]
MV988359,[]
MV988360,[]
MV988361,[]
MV988362,[]
MV988363,[]
MV988364,[]
MV988365,[]
MV988366,[]
MW008559,[]
MW012427,[]
MW012428,[]
MW015936,[]
MW122373,[]
MW122374,[]
MW122375,[]
MW122376,[]
MW122377,[]
MW122378,[]
MW122379,[]
MW122380,[]
MW122381,[]
MW122382,[]
MW122383,[]
MW122384,[]
MW122385,[]
MW122386,[]
MW122387,[]
MW122388,[]
MW122389,[]
MW122390,[]
MW122391,[]
MW122392,[]
MW122393,[]
MW122394,[]
MW122395,[]
MW122396,[]
MW122397,[]
MW122398,[]
MW122399,[]
MW122400,[]
MW122401,[]
MW122402,[]
MW122403,[]
MW122404,[]
MW122405,[]
MW122406,[]
MW122407,[]
MW122408,[]
MW122409,[]
MW122410,[]
MW122411,[]
MW122412,[]
MW122413,[]
MW122414,[]
MW122415,[]
MW122416,[]
MW122417,[]
MW122418,[]
MW122419,[]
MW122420,[]
MW122421,[]
MW122422,[]
MW122423,[]
MW122424,[]
MW122425,[]
MW122426,[]
MW122427,[]
MW122428,[]
MW122429,[]
MW122430,[]
MW122431,[]
MW122432,[]
MW122433,[]
MW122434,[]
MW122435,[]
MW122436,[]
MW122437,[]
MW122438,[]
MW122439,[]
MW122440,[]
MW122441,[]
MW122442,[]
MW122443,[]
MW122444,[]
MW122445,[]
MW122446,[]
MW122447,[]
MW122448,[]
MW122449,[]
MW122450,[]
MW122451,[]
MW122452,[]
MW122453,[]
MW122454,[]
MW122455,[]
MW123921,[]
MW123922,[]
MW123923,[]
MW123924,[]
MW123925,[]
MW123926,[]
MW134528,['33944623']
MW134529,['33944623']
MW134530,['33944623']
MW143017,[]
MW143018,[]
MW143019,[]
MW143020,[]
MW143021,[]
MW143022,[]
MW165880,[]
MW165881,[]
MW165882,[]
MW165883,[]
MW165884,[]
MW324573,[]
MW324574,[]
MW389532,[]
MW389533,[]
MW389534,[]
MW389535,[]
MW389536,[]
MW389537,[]
MW680969,[]
MW680970,[]
MW894610,['32580028']
MW894611,['32580028']
MW894612,['32580028']
MW894613,['32580028']
MW894614,['32580028']
MW915410,[]
MW915411,[]
MW915412,[]
MW915413,[]
MW915414,[]
MW915415,[]
MX103697,[]
MX103698,[]
MX103699,[]
MX298332,[]
MX298333,[]
MX298334,[]
MX298335,[]
MX298336,[]
MX298337,[]
MX298338,[]
MX298339,[]
MX298340,[]
MX298341,[]
MX298342,[]
MX298343,[]
MX298344,[]
MX298345,[]
MX298346,[]
MX298347,[]
MX298348,[]
MX298349,[]
MX298350,[]
MX298351,[]
MX298352,[]
MX298353,[]
MX298354,[]
MX298355,[]
MX298356,[]
MX298357,[]
MX298358,[]
MX298359,[]
MX298360,[]
MX298361,[]
MX298362,[]
MX298363,[]
MX298364,[]
MX298365,[]
MX298366,[]
MX298367,[]
MX298368,[]
MX298369,[]
MX298370,[]
MX298371,[]
MX298372,[]
MX298373,[]
MX298374,[]
MX298375,[]
MX298376,[]
MX298377,[]
MX298378,[]
MX298379,[]
MX298380,[]
MX298381,[]
MX298382,[]
MX298383,[]
MX298384,[]
MX298385,[]
MX298386,[]
MX298387,[]
MX298388,[]
MX298389,[]
MX298390,[]
MX298391,[]
MX298392,[]
MX298393,[]
MX298394,[]
MX298395,[]
MX298396,[]
MX298397,[]
MX298398,[]
MX298399,[]
MX298400,[]
MX298401,[]
MX298402,[]
MX298403,[]
MX298404,[]
MX298405,[]
MX298406,[]
MX298407,[]
MX298408,[]
MX298409,[]
MX298410,[]
MX298411,[]
MX298412,[]
MX298413,[]
MX298414,[]
MX298415,[]
MX298416,[]
MX298417,[]
MX298418,[]
MX298419,[]
MX298420,[]
MX298421,[]
MX298422,[]
MX298423,[]
MX298424,[]
MX298425,[]
MX298426,[]
MX298427,[]
MX298428,[]
MX298429,[]
MX298430,[]
MX298431,[]
MX298432,[]
MX298433,[]
MX298434,[]
MX298435,[]
MX298436,[]
MX298437,[]
MX298438,[]
MX298439,[]
MX298440,[]
MX298441,[]
MX298442,[]
MX298443,[]
MX298444,[]
MX298445,[]
MX298446,[]
MX298447,[]
MX298448,[]
MX298449,[]
MX298450,[]
MX298451,[]
MX298452,[]
MX298453,[]
MX298454,[]
MX298455,[]
MX298456,[]
MX298457,[]
MX298458,[]
MX298459,[]
MX298460,[]
MX298461,[]
MX298462,[]
MX298463,[]
MX298464,[]
MX298465,[]
MX298466,[]
MX298467,[]
MX298468,[]
MX298469,[]
MX298470,[]
MX298471,[]
MX298472,[]
MX298473,[]
MX298474,[]
MX298475,[]
MX298476,[]
MX298477,[]
MX298478,[]
MX298479,[]
MX298480,[]
MX298481,[]
MX298482,[]
MX298483,[]
MX298484,[]
MX298485,[]
MX298486,[]
MX298487,[]
MX298488,[]
MX298489,[]
MX298490,[]
MX298491,[]
MX298492,[]
MX298493,[]
MX298494,[]
MX298495,[]
MX298496,[]
MX298497,[]
MX298498,[]
MX298499,[]
MX298500,[]
MX298501,[]
MX298502,[]
MX298503,[]
MX298504,[]
MX298505,[]
MX298506,[]
MX298507,[]
MX298508,[]
MX298509,[]
MX298510,[]
MX298511,[]
MX298512,[]
MX298513,[]
MX298514,[]
MX298515,[]
MX298516,[]
MX298517,[]
MX298518,[]
MX298519,[]
MX298520,[]
MX298521,[]
MX298522,[]
MX298523,[]
MX298524,[]
MX298525,[]
MX298526,[]
MX298527,[]
MX298528,[]
MX298529,[]
MX298530,[]
MX298531,[]
MX298532,[]
MX298533,[]
MX298534,[]
MX298535,[]
MX298536,[]
MX298537,[]
MX298538,[]
MX298539,[]
MX298540,[]
MX298541,[]
MX298542,[]
MX298543,[]
MX298544,[]
MX298545,[]
MX298546,[]
MX298547,[]
MX298548,[]
MX298549,[]
MX298550,[]
MX298551,[]
MX298552,[]
MX298553,[]
MX298554,[]
MX298555,[]
MX355558,[]
MX436699,[]
MX436700,[]
MX436701,[]
MX436702,[]
MX436703,[]
MX436704,[]
MX436705,[]
MX436706,[]
MX436707,[]
MX436708,[]
MX436709,[]
MX436710,[]
MX627408,[]
MX627409,[]
MX627410,[]
MX627411,[]
MX627412,[]
MX627413,[]
MX627414,[]
MX627415,[]
MX627416,[]
MX910344,[]
MX910345,[]
MX910346,[]
MX910347,[]
MX910348,[]
MX910349,[]
MX910350,[]
MX910351,[]
MX910352,[]
MX910353,[]
MX910354,[]
MX910355,[]
MX910356,[]
MX910357,[]
MX910358,[]
MX910359,[]
MX910360,[]
MX910361,[]
MX910362,[]
MX910363,[]
MX910364,[]
MX910365,[]
MX910366,[]
MX910367,[]
MX910368,[]
MX910369,[]
MX910370,[]
MX910371,[]
MX910372,[]
MX910373,[]
MX910374,[]
MX910375,[]
MX910376,[]
MX910377,[]
MX910378,[]
MX910379,[]
MX910380,[]
MX910381,[]
MX910382,[]
MX910383,[]
MX910384,[]
MX910385,[]
MX910386,[]
MX910387,[]
MX910388,[]
MX910389,[]
MX910390,[]
MX910391,[]
MX910392,[]
MX910393,[]
MX910394,[]
MX910395,[]
MX910396,[]
MX910397,[]
MX910398,[]
MX910399,[]
MX910400,[]
MX910401,[]
MX910402,[]
MY222837,[]
MY222838,[]
MY222839,[]
MY222840,[]
MY222841,[]
MY222842,[]
MY518234,[]
MY518235,[]
MY518236,[]
MY518237,[]
MY518238,[]
MY518239,[]
MY518240,[]
MY518241,[]
MY518242,[]
MY518243,[]
MY518244,[]
MY518245,[]
MY518246,[]
