Locus,Pubmed accession number
KY241722,[]
KY241723,[]
KY241724,[]
KY241725,[]
KY241726,[]
KY241727,[]
KY241728,[]
KY241729,[]
KY241730,[]
KY241731,[]
KY241732,[]
KY241733,[]
KY241734,[]
KY241735,[]
KY241736,[]
KY241737,[]
KY241738,[]
KY241739,[]
KY241740,[]
KY241741,[]
KY241742,[]
KY241743,[]
KY241744,[]
KY241745,[]
KY241746,[]
KY241747,[]
KY241748,[]
KY241749,[]
KY241750,[]
KY241751,[]
KY241752,[]
KY241753,[]
KY241754,[]
KY241755,[]
KY241756,[]
KY241757,[]
KY241758,[]
KY241759,[]
KY241760,[]
KY241761,[]
KY241762,[]
KY241763,[]
KY241764,[]
KY241765,[]
KY241766,[]
KY241767,[]
KY241768,[]
KY241769,[]
KY241770,[]
KY241771,[]
KY241772,[]
KY241773,[]
KY241774,[]
KY241775,[]
KY241776,[]
KY241777,[]
KY241778,[]
KY241779,[]
KY241780,[]
KY241781,[]
KY241782,[]
KY241783,[]
KY241784,[]
KY241785,[]
KY241786,[]
KY241787,[]
KY241788,[]
KY272987,[]
KY272991,[]
KY288905,[]
KY293644,['27454745']
KY293645,['27454745']
KY307811,[]
KY317936,['28538739']
KY317937,['28538739']
KY317938,['28538739']
KY317939,['28538739']
KY317940,['28538739']
KY325464,['28538723']
KY325465,['28538723']
KY325466,['28538723']
KY325467,['28538723']
KY325468,['28538723']
KY325469,['28538723']
KY325470,['28538723']
KY325471,['28538723']
KY325472,['28538723']
KY325473,['28538723']
KY325474,['28538723']
KY325475,['28538723']
KY325476,['28538723']
KY325477,['28538723']
KY325478,['28538723']
KY325479,['28538723']
KY325480,['28538723']
KY325481,['28538723']
KY325482,[]
KY325483,['28538723']
KY328289,['27748649']
KY328290,[]
KY348640,['28539654']
KY348860,[]
KY354186,['28628464']
KY354187,['28628464']
KY364193,[]
KY379148,[]
KY415986,['29851952']
KY415987,['29851952']
KY415988,['29851952']
KY415989,['29851952']
KY415990,['29851952']
KY415991,['29851952']
KY441401,[]
KY441402,[]
KY441403,[]
KY465607,['28982578']
KY553111,['28795266']
KY558989,['28538727']
KY558990,[]
KY558991,[]
KY558992,[]
KY558993,[]
KY558994,[]
KY558995,[]
KY558996,[]
KY558997,[]
KY558998,[]
KY558999,[]
KY559000,[]
KY559001,[]
KY559002,[]
KY559003,[]
KY559004,[]
KY559005,[]
KY559006,[]
KY559007,[]
KY559008,[]
KY559009,[]
KY559010,[]
KY559011,[]
KY559012,[]
KY559013,[]
KY559014,[]
KY559015,[]
KY559016,[]
KY559017,[]
KY559018,[]
KY559019,[]
KY559020,[]
KY559021,[]
KY559022,[]
KY559023,[]
KY559024,[]
KY559025,[]
KY559026,[]
KY559027,[]
KY559028,[]
KY559029,[]
KY559030,[]
KY559031,[]
KY559032,['28538727']
KY561343,[]
KY561344,[]
KY561345,[]
KY576904,[]
KY606271,['28538727']
KY606272,[]
KY606273,[]
KY606274,[]
KY631492,[]
KY631493,[]
KY631494,[]
KY648934,[]
KY693676,[]
KY693677,[]
KY693678,[]
KY693679,[]
KY693680,[]
KY765303,['29053990']
KY765304,['29053990']
KY765305,['29053990']
KY765306,['29053990']
KY765307,['29053990']
KY765308,['29053990']
KY765309,['29053990']
KY765317,[]
KY765318,[]
KY765319,[]
KY765320,[]
KY765321,[]
KY765322,[]
KY765323,[]
KY765324,[]
KY765325,[]
KY765326,[]
KY765327,[]
KY766069,[]
KY785409,['28538734']
KY785410,['28538734']
KY785411,['28538734']
KY785412,['28538734']
KY785413,['28538734']
KY785414,['28538734']
KY785415,['28538734']
KY785416,['28538734']
KY785417,['28538734']
KY785418,['28538734']
KY785419,['28538734']
KY785420,['28538734']
KY785421,['28538734']
KY785422,['28538734']
KY785423,['28538734']
KY785424,['28538734']
KY785425,['28538734']
KY785426,['28538734']
KY785427,['28538734']
KY785428,['28538734']
KY785429,['28538734']
KY785430,['28538734']
KY785431,['28538734']
KY785432,['28538734']
KY785433,['28538734']
KY785434,['28538734']
KY785435,['28538734']
KY785436,['28538734']
KY785437,['28538734']
KY785438,['28538734']
KY785439,['28538734']
KY785440,['28538734']
KY785441,['28538734']
KY785442,['28538734']
KY785443,['28538734']
KY785444,['28538734']
KY785445,['28538734']
KY785446,['28538734']
KY785447,['28538734']
KY785448,['28538734']
KY785449,['28538734']
KY785450,['28538734']
KY785451,['28538734']
KY785452,['28538734']
KY785453,['28538734']
KY785454,['28538734']
KY785455,['28538734']
KY785456,['28538734']
KY785457,['28538734']
KY785458,['28538734']
KY785459,['28538734']
KY785460,['28538734']
KY785461,['28538734']
KY785462,['28538734']
KY785463,['28538734']
KY785464,['28538734']
KY785465,['28538734']
KY785466,['28538734']
KY785467,['28538734']
KY785468,['28538734']
KY785469,['28538734']
KY785470,['28538734']
KY785471,['28538734']
KY785472,['28538734']
KY785473,['28538734']
KY785474,['28538734']
KY785475,['28538734']
KY785476,['28538734']
KY785477,['28538734']
KY785478,['28538734']
KY785479,['28538734']
KY785480,['28538734']
KY785481,['28538734']
KY785482,['28538734']
KY785483,['28538734']
KY785484,['28538734']
KY785485,['28538734']
KY817930,['28538727']
KY829115,['28538734']
KY858713,[]
KY883764,['28927458']
KY888678,[]
KY911976,[]
KY911977,[]
KY911978,[]
KY911979,[]
KY911980,[]
KY911981,[]
KY911982,[]
KY921911,[]
KY927808,[]
KY962729,['28795266']
KY967711,[]
KY968096,[]
KY968097,[]
KY968098,[]
KY989511,[]
KY989971,[]
LC002520,[]
LC171327,[]
LC190723,[]
LC191864,['28367888']
LC217862,[]
LC218742,[]
LC219720,['28445122']
LC227589,[]
LC229347,[]
LC322991,[]
LC322992,[]
LC331561,[]
LC369584,[]
LC571075,[]
LC571076,[]
LC571077,[]
LC629060,[]
LC629061,[]
LC629062,[]
LC629063,[]
LC629064,[]
LC629065,[]
LC629066,[]
LC629067,[]
LC707380,[]
LC707381,[]
LC770214,[]
LF621701,[]
LG018115,[]
LP748435,[]
LP748436,[]
LP748437,[]
LP748438,[]
LP748439,[]
LP748440,[]
LP748441,[]
LP748442,[]
LP748443,[]
LP758352,[]
LP758353,[]
LP758354,[]
LP758355,[]
LP758356,[]
LP758357,[]
LP758358,[]
LP758359,[]
LP758368,[]
LP758369,[]
LP758370,[]
LP758371,[]
LP758372,[]
LP758373,[]
LP758374,[]
LP758375,[]
