Unnamed: 0,Locus,Pubmed_number,pmcid
472,GQ139583,19891873,PMC2857240
473,GQ139584,19891873,PMC2857240
474,GQ139585,19891873,PMC2857240
475,GQ139586,19891873,PMC2857240
476,GQ139587,19891873,PMC2857240
477,GQ139588,19891873,PMC2857240
478,GQ139589,19891873,PMC2857240
479,GQ139590,19891873,PMC2857240
480,GQ139591,19891873,PMC2857240
491,GQ398256,20600330,
508,GU289913,19874927,
509,GU318306,19965886,PMC2877535
510,GU318307,19965886,PMC2877535
511,GU318308,19965886,PMC2877535
512,GU318309,19965886,PMC2877535
513,GU318310,19965886,PMC2877535
514,GU318311,19965886,PMC2877535
515,GU318312,19965886,PMC2877535
516,GU318313,19965886,PMC2877535
517,GU318314,19965886,PMC2877535
518,GU318315,19965886,PMC2877535
519,GU318316,19965886,PMC2877535
520,GU318317,19965886,PMC2877535
521,GU318318,19965886,PMC2877535
526,GU586124,21234665,
527,HE994136,23421733,PMC3599326
535,HM171571,20549264,
536,HM237348,20670467,
537,HM237349,20670467,
539,HQ332172,22197765,PMC3919160
540,HQ332173,22197765,PMC3919160
541,HQ332174,22197765,PMC3919160
542,HQ332175,22197765,PMC3919160
543,HQ332176,22197765,PMC3919160
545,HQ822125,22000396,PMC3310685
546,HQ822126,22000396,PMC3310685
561,JF262779,22178263,PMC3253985
562,JF262780,22178263,PMC3253985
563,JF262781,22178263,PMC3253985
564,JF262782,22178263,PMC3253985
565,JF262783,22178263,PMC3253985
591,JF937549,21691853,
592,JF937550,21691853,
593,JF967759,22855770,PMC3414576
594,JF967760,22855770,PMC3414576
595,JF967761,22855770,PMC3414576
596,JF967762,22855770,PMC3414576
597,JF967763,22855770,PMC3414576
598,JF967764,22855770,PMC3414576
599,JF967765,22855770,PMC3414576
600,JF967766,22855770,PMC3414576
601,JF967767,22855770,PMC3414576
602,JF967768,22855770,PMC3414576
603,JF967769,22855770,PMC3414576
604,JF967770,22855770,PMC3414576
605,JF967771,22855770,PMC3414576
606,JF967772,22855770,PMC3414576
607,JF967773,22855770,PMC3414576
608,JF967774,22855770,PMC3414576
609,JF967775,22855770,PMC3414576
610,JF967776,22855770,PMC3414576
611,JF967777,22855770,PMC3414576
612,JF967778,22855770,PMC3414576
613,JF967779,22855770,PMC3414576
614,JF967780,22855770,PMC3414576
615,JF967781,22855770,PMC3414576
616,JF967782,22855770,PMC3414576
617,JF967783,22855770,PMC3414576
618,JF967784,22855770,PMC3414576
619,JF967785,22855770,PMC3414576
620,JF967786,22855770,PMC3414576
621,JF967787,22855770,PMC3414576
622,JF967788,22855770,PMC3414576
623,JF967789,22855770,PMC3414576
624,JF967790,22855770,PMC3414576
625,JF967791,22855770,PMC3414576
626,JF967792,22855770,PMC3414576
627,JN009099,22991709,
628,JN019816,22036707,
629,JN019817,22036707,
630,JN019818,22036707,
631,JN019819,22036707,
632,JN019820,22036707,
633,JN019821,22036707,
634,JN019822,22036707,
635,JN019823,22036707,
636,JN019824,22036707,
637,JN019825,22036707,
638,JN019826,22036707,
639,JN019827,22036707,
640,JN019828,22036707,
641,JN019829,22036707,
642,JN019830,22036707,
651,JN092553,22216365,PMC3246447
675,JN575581,23092682,PMC3559152
676,JN575582,23092682,PMC3559152
677,JN575583,23092682,PMC3559152
678,JN575584,23092682,PMC3559152
679,JN575585,23092682,PMC3559152
680,JN575586,23092682,PMC3559152
681,JN575587,23092682,PMC3559152
682,JN575588,23092682,PMC3559152
683,JN575589,23092682,PMC3559152
684,JN575590,23092682,PMC3559152
685,JN575591,23092682,PMC3559152
686,JN575592,23092682,PMC3559152
687,JN575593,23092682,PMC3559152
688,JN575594,23092682,PMC3559152
689,JN575595,23092682,PMC3559152
690,JN575596,23092682,PMC3559152
699,JN832498,22216313,PMC3247278
700,JN832499,22216313,PMC3247278
701,JN832500,22216313,PMC3247278
702,JN832501,22216313,PMC3247278
703,JN832502,22216313,PMC3247278
704,JN832503,22216313,PMC3247278
705,JN832504,22216313,PMC3247278
706,JN832505,22216313,PMC3247278
707,JN832506,22216313,PMC3247278
708,JN832507,22216313,PMC3247278
709,JN832508,22216313,PMC3247278
710,JN832509,22216313,PMC3247278
711,JN832510,22216313,PMC3247278
712,JN832511,22216313,PMC3247278
713,JN832512,22216313,PMC3247278
714,JN832513,22216313,PMC3247278
715,JN832514,22216313,PMC3247278
716,JN832515,22216313,PMC3247278
717,JN832516,22216313,PMC3247278
718,JN832517,22216313,PMC3247278
719,JN832518,22216313,PMC3247278
720,JN832519,22216313,PMC3247278
721,JN832520,22216313,PMC3247278
722,JN832521,22216313,PMC3247278
723,JN832522,22216313,PMC3247278
724,JN832523,22216313,PMC3247278
725,JN832524,22216313,PMC3247278
726,JN832525,22216313,PMC3247278
727,JN832526,22216313,PMC3247278
728,JN832527,22216313,PMC3247278
729,JN832528,22216313,PMC3247278
730,JN832529,22216313,PMC3247278
731,JN832530,22216313,PMC3247278
732,JN832531,22216313,PMC3247278
733,JN832532,22216313,PMC3247278
734,JN832533,22216313,PMC3247278
735,JN832534,22216313,PMC3247278
736,JN832535,22216313,PMC3247278
737,JN832536,22216313,PMC3247278
738,JN832537,22216313,PMC3247278
739,JN832538,22216313,PMC3247278
740,JN832539,22216313,PMC3247278
741,JN832540,22216313,PMC3247278
742,JN832541,22216313,PMC3247278
743,JN832542,22216313,PMC3247278
744,JN832543,22216313,PMC3247278
745,JN832544,22216313,PMC3247278
746,JN832545,22216313,PMC3247278
747,JN832546,22216313,PMC3247278
748,JN832547,22216313,PMC3247278
749,JN832548,22216313,PMC3247278
750,JN832549,22216313,PMC3247278
751,JN832550,22216313,PMC3247278
752,JN832551,22216313,PMC3247278
753,JN832552,22216313,PMC3247278
754,JN832553,22216313,PMC3247278
755,JN832554,22216313,PMC3247278
756,JN832555,22216313,PMC3247278
757,JN832556,22216313,PMC3247278
758,JN832557,22216313,PMC3247278
759,JN832558,22216313,PMC3247278
760,JN832559,22216313,PMC3247278
761,JN832560,22216313,PMC3247278
762,JN832561,22216313,PMC3247278
763,JN848496,22216365,PMC3246447
764,JN848497,22216365,PMC3246447
765,JN848498,22216365,PMC3246447
766,JN848499,22216365,PMC3246447
767,JN848500,22216365,PMC3246447
768,JN983813,22247521,PMC3264359
769,JQ045565,22826483,PMC3435362
770,JQ045566,22826483,PMC3435362
771,JQ247980,23871166,
776,JQ403526,22855770,PMC3414576
777,JQ513330,23092706,PMC3559147
778,JQ513331,23092706,PMC3559147
779,JQ513332,23092706,PMC3559147
780,JQ513333,23092706,PMC3559147
781,JQ513334,23092706,PMC3559147
782,JQ513335,23092706,PMC3559147
783,JQ513336,23092706,PMC3559147
784,JQ513337,23092706,PMC3559147
785,JQ513338,23092706,PMC3559147
786,JQ513339,23092706,PMC3559147
787,JQ513340,23092706,PMC3559147
788,JQ513341,23092706,PMC3559147
789,JQ513342,23092706,PMC3559147
790,JQ513343,23092706,PMC3559147
791,JQ513344,23092706,PMC3559147
792,JQ513345,23092706,PMC3559147
825,JQ686057,22890284,
826,JQ686058,22890284,
827,JQ686059,22890284,
828,JQ686060,22890284,
829,JQ686061,22890284,
830,JQ686062,22890284,
831,JQ686063,22890284,
832,JQ686064,22890284,
833,JQ686065,22890284,
834,JQ686066,22890284,
835,JQ686067,22890284,
836,JQ736685,23127562,
837,JQ736686,23127562,
838,JQ740882,22491255,PMC3364712
839,JQ740883,22491255,PMC3364712
840,JQ822247,22628403,PMC3393561
855,JQ993233,23350000,PMC3547850
856,JQ993234,23350000,PMC3547850
857,JQ993235,23350000,PMC3547850
858,JQ993236,23350000,PMC3547850
859,JQ993237,23350000,PMC3547850
860,JQ993238,23350000,PMC3547850
861,JQ993239,23350000,PMC3547850
862,JQ993240,23350000,PMC3547850
863,JQ993241,23350000,PMC3547850
864,JQ993242,23350000,PMC3547850
865,JQ993243,23350000,PMC3547850
866,JQ993244,23350000,PMC3547850
867,JQ993245,23350000,PMC3547850
868,JQ993246,23350000,PMC3547850
869,JQ993247,23350000,PMC3547850
870,JQ993248,23350000,PMC3547850
871,JQ993249,23350000,PMC3547850
872,JQ993250,23350000,PMC3547850
873,JQ993251,23350000,PMC3547850
874,JQ993252,23350000,PMC3547850
875,JQ993253,23350000,PMC3547850
876,JQ993254,23350000,PMC3547850
877,JQ993255,23350000,PMC3547850
878,JQ993256,23350000,PMC3547850
879,JQ993257,23350000,PMC3547850
880,JQ993258,23350000,PMC3547850
881,JQ993259,23350000,PMC3547850
882,JQ993260,23350000,PMC3547850
883,JQ993261,23350000,PMC3547850
884,JQ993262,23350000,PMC3547850
885,JQ993263,23350000,PMC3547850
886,JQ993264,23350000,PMC3547850
887,JQ993265,23350000,PMC3547850
888,JQ993266,23350000,PMC3547850
889,JQ993267,23350000,PMC3547850
890,JQ993268,23350000,PMC3547850
891,JQ993269,23350000,PMC3547850
892,JQ993270,23350000,PMC3547850
893,JQ993271,23350000,PMC3547850
894,JQ993272,23350000,PMC3547850
895,JQ993273,23350000,PMC3547850
896,JQ993274,23350000,PMC3547850
897,JQ993275,23350000,PMC3547850
898,JQ993276,23350000,PMC3547850
899,JQ993277,23350000,PMC3547850
900,JQ993278,23350000,PMC3547850
901,JQ993279,23350000,PMC3547850
902,JQ993280,23350000,PMC3547850
903,JQ993281,23350000,PMC3547850
904,JQ993282,23350000,PMC3547850
905,JQ993283,23350000,PMC3547850
906,JQ993284,23350000,PMC3547850
907,JQ993285,23350000,PMC3547850
908,JQ993286,23350000,PMC3547850
909,JQ993287,23350000,PMC3547850
910,JQ993288,23350000,PMC3547850
911,JQ993289,23350000,PMC3547850
912,JQ993290,23350000,PMC3547850
913,JQ993291,23350000,PMC3547850
914,JQ993292,23350000,PMC3547850
915,JQ993293,23350000,PMC3547850
916,JQ993294,23350000,PMC3547850
917,JQ993295,23350000,PMC3547850
918,JQ993296,23350000,PMC3547850
919,JQ993297,23350000,PMC3547850
920,JQ993298,23350000,PMC3547850
921,JQ993299,23350000,PMC3547850
922,JQ993300,23350000,PMC3547850
923,JQ993301,23350000,PMC3547850
924,JQ993302,23350000,PMC3547850
925,JQ993303,23350000,PMC3547850
926,JQ993304,23350000,PMC3547850
927,JQ993305,23350000,PMC3547850
928,JQ993306,23350000,PMC3547850
929,JX024757,23415634,
930,JX024758,23415634,
931,JX026889,23127562,
932,JX026890,23127562,
933,JX026891,23127562,
934,JX026892,23127562,
935,JX026893,23127562,
936,JX026894,23127562,
937,JX026895,23127562,
938,JX026896,23127562,
984,KC333651,23723400,PMC3668008
985,KC762694,25784569,
986,KC762695,25784569,
987,KC762696,25784569,
988,KC762697,25784569,
989,KC762698,25784569,
990,KC762699,25784569,
992,KC963424,23785205,PMC3754038
993,KC963425,23785205,PMC3754038
994,KF041260,24007412,PMC3844417
995,KF052666,24916872,
996,KF052667,24916872,
997,KF052668,24916872,
1008,KF286626,24587454,PMC3937275
1009,KF286627,24587454,PMC3937275
1010,KF286628,24587454,PMC3937275
1011,KF286629,24587454,PMC3937275
1012,KF286630,24587454,PMC3937275
1013,KF286631,24587454,PMC3937275
1014,KF286632,24587454,PMC3937275
1015,KF286633,24587454,PMC3937275
1016,KF286634,24587454,PMC3937275
1017,KF286635,24587454,PMC3937275
1018,KF305671,25817238,
1019,KF385931,24571329,PMC3905968
1020,KF385932,24571329,PMC3905968
1021,KF385933,24571329,PMC3905968
1022,KF385934,24571329,PMC3905968
1023,KF417492,24978469,PMC4076277
